name,start,duration,init_time,wait_time
composition,1607379125605,13,0,0
composition,1607379125606,8,0,0
composition,1607379125614,8,0,0
branch,1607379125622,137,0,0
branch,1607379125629,149,0,0
composition,1607379125634,294,0,0
branch,1607379125678,96,0,0
branch,1607379125753,142,0,0
branch,1607379125798,94,0,0
composition,1607379125807,7,0,0
branch,1607379125839,141,0,0
branch,1607379125877,3,0,0
composition,1607379125891,7,0,0
composition,1607379125901,7,0,0
branch,1607379125940,196,0,0
branch,1607379125991,175,0,0
composition,1607379126002,8,0,0
branch,1607379126039,149,0,0
composition,1607379126115,9,0,0
composition,1607379126120,333,0,0
composition,1607379126234,10,0,0
branch,1607379126250,138,0,0
branch,1607379126323,3,0,0
composition,1607379126375,6,0,0
branch,1607379126376,3,0,0
branch,1607379126410,7,0,0
branch,1607379126520,106,0,0
composition,1607379126530,6,0,0
composition,1607379126630,11,0,0
composition,1607379126652,7,0,0
branch,1607379126693,89,0,0
branch,1607379126704,88,0,0
composition,1607379126725,6,0,0
composition,1607379126786,9,0,0
branch,1607379126796,198,0,0
composition,1607379126826,442,0,0
composition,1607379126873,9,0,0
composition,1607379126876,9,0,0
branch,1607379126896,196,0,0
branch,1607379126908,135,0,0
mergeruns,1607379127059,316,316,0
branchJsToPython,1607379127127,249,249,0
branchJsToPython,1607379127173,203,203,0
tripleAndIncrement,1607379127314,171,157,0
composition,1607379127809,13,13,0
composition,1607379128074,8,8,0
tripleAndIncrement,1607379128701,204,194,0
branch,1607379128852,149,141,0
branchJsToPython,1607379129180,102,102,0
composition,1607379129719,294,294,0
branchJsToPython,1607379130296,142,142,0
mergeruns,1607379130350,139,139,0
tripleAndIncrement,1607379130784,92,84,0
tripleAndIncrement,1607379131108,97,91,0
composition,1607379131328,8,8,0
branchJsToPython,1607379131607,88,88,0
branchJsToPython,1607379131659,95,95,0
mergeruns,1607379132136,38,38,0
branch,1607379132669,137,131,0
branchJsToPython,1607379133008,193,193,0
mergeruns,1607379133114,135,135,0
branch,1607379133468,96,87,0
mergeruns,1607379133887,90,90,0
branchJsToPython,1607379134439,143,143,0
tripleAndIncrement,1607379134492,135,129,0
tripleAndIncrement,1607379134711,3,0,0
branchJsToPython,1607379134859,148,148,0
branchJsToPython,1607379135129,150,150,0
composition,1607379135170,7,7,0
branch,1607379135682,142,136,0
branch,1607379136126,94,87,0
branchJsToPython,1607379136408,211,211,0
branch,1607379136642,141,136,0
branch,1607379136883,3,0,0
branchJsToPython,1607379136934,89,89,0
composition,1607379137075,7,7,0
composition,1607379137188,7,7,0
branchJsToPython,1607379137396,48,48,0
branchJsToPython,1607379137948,57,57,0
branch,1607379138693,196,189,0
tripleAndIncrement,1607379138818,191,183,0
branchJsToPython,1607379138906,190,190,0
composition,1607379139004,8,8,0
tripleAndIncrement,1607379139109,6,0,0
tripleAndIncrement,1607379139318,6,0,0
branch,1607379139344,175,166,0
composition,1607379139745,9,9,0
branch,1607379140322,149,142,0
mergeruns,1607379140483,195,195,0
mergeruns,1607379140694,147,147,0
composition,1607379141332,333,333,0
tripleAndIncrement,1607379141655,146,138,0
tripleAndIncrement,1607379141825,151,143,0
composition,1607379141967,10,10,0
mergeruns,1607379142025,98,98,0
tripleAndIncrement,1607379142837,136,130,0
tripleAndIncrement,1607379143035,2,0,0
mergeruns,1607379143361,153,153,0
branch,1607379143422,138,131,0
mergeruns,1607379143451,147,147,0
branch,1607379143694,3,0,0
composition,1607379143791,6,6,0
branch,1607379143854,3,0,0
branch,1607379143976,7,0,0
mergeruns,1607379144188,95,95,0
mergeruns,1607379144740,86,86,0
mergeruns,1607379145217,146,146,0
branchJsToPython,1607379145315,150,150,0
tripleAndIncrement,1607379145563,145,138,0
mergeruns,1607379145872,136,136,0
composition,1607379146135,6,6,0
branchJsToPython,1607379146432,102,102,0
branch,1607379146608,106,98,0
branchJsToPython,1607379147046,95,95,0
tripleAndIncrement,1607379147345,196,188,0
tripleAndIncrement,1607379147796,85,80,0
branchJsToPython,1607379147843,141,141,0
composition,1607379148174,11,11,0
tripleAndIncrement,1607379148291,41,29,0
composition,1607379148352,7,7,0
mergeruns,1607379148707,87,87,0
mergeruns,1607379149325,146,146,0
branch,1607379149808,89,83,0
branchJsToPython,1607379149892,146,146,0
composition,1607379150012,6,6,0
branch,1607379150354,88,81,0
composition,1607379150601,9,9,0
mergeruns,1607379150732,91,91,0
mergeruns,1607379151383,137,137,0
mergeruns,1607379151828,140,140,0
branch,1607379151927,198,190,0
composition,1607379152148,442,442,0
composition,1607379152271,9,9,0
composition,1607379152453,9,9,0
tripleAndIncrement,1607379152640,154,145,0
tripleAndIncrement,1607379153219,97,88,0
tripleAndIncrement,1607379153413,3,0,0
branch,1607379153961,196,187,0
branch,1607379154005,135,129,0
mergeruns,1607379154083,181,181,0
